artist_name,e.country,e.country_3,num_exhibitions
Roderich Jerusalem,DE,DEU,2
Roderick D. MacKenzie,GB,GBR,8
Rodolfo Franco,GB,GBR,6
Rodolfo Paoletti,IT,ITA,4
Rodolphe Bolliger,DE,DEU,6
Rodolphe Bolliger,FR,FRA,1
Rodolphe Bresdin,NL,NLD,16
Rodolphe Bresdin,RU,RUS,3
Rodolphe Fornerod,BE,BEL,59
Rodolphe Fornerod,DE,DEU,1
Rodolphe Fornerod,FR,FRA,49
Rodolphe François d' Erlanger,FR,FRA,14
Rodolphe Strebelle,BE,BEL,4
Rodolphe Wytsman,BE,BEL,2
Rodolphe Wytsman,DE,DEU,5
Rodolphe Wytsman,HU,HUN,2
Rodolphe Wytsman,IT,ITA,6
Rodolphe de Saegher,BE,BEL,59
Rodolphe de Saegher,DE,DEU,3
Rodolphe de Saegher,IT,ITA,10
Roelf Takens,NL,NLD,13
Rogelio de Egusquiza Barrena,GB,GBR,1
Roger Bissière,FR,FRA,3
Roger Deroulède,FR,FRA,11
Roger Deverin,FR,FRA,14
Roger Fry,FR,FRA,8
Roger Fry,GB,GBR,269
Roger Fry,IT,ITA,2
Roger Parent,BE,BEL,9
Roger de La Broye,BE,BEL,3
Roger de La Fresnaye,CZ,CZE,8
Roger de La Fresnaye,DE,DEU,12
Roger de La Fresnaye,FR,FRA,94
Roger de La Fresnaye,US,USA,20
Roger-Louis Jammes,FR,FRA,56
Roger-Maurice Grillon,FR,FRA,16
Roland Lary,NL,NLD,13
Roland Maser,CH,CHE,1
Roland Maser,DE,DEU,1
Rolf Ubell,AT,AUT,2
Rolf Winkler,DE,DEU,6
Rolf Winkler,RU,RUS,9
Roline Maria Wichers Wierdsma,NL,NLD,3
Romain Looymans,BE,BEL,17
Romain Looymans,DE,DEU,3
Romain Steppe,BE,BEL,4
Romaine Brooks,AT,AUT,3
Romaine Brooks,IT,ITA,4
Roman Bratkowski,GB,GBR,1
Roman Havelka,AT,AUT,2
Roman Havelka,CZ,CZE,82
Roman Kochanowski,DE,DEU,3
Roman Kramstyk,DE,DEU,7
Roman Kramstyk,IT,ITA,2
Romano Broggini,IT,ITA,1
Romano Valori,IT,ITA,1
Romeo Bonomelli,IT,ITA,2
Romeo Borgononi,IT,ITA,2
Romeo Costetti,IT,ITA,14
Romolo Bernardi,IT,ITA,4
Romolo Pellegrini,IT,ITA,3
Romolo Romani,IT,ITA,20
Romolo Tessari,IT,ITA,3
Romualdo Prati,IT,ITA,2
Ronald Gray,GB,GBR,14
Ronald James Murray,GB,GBR,10
Rosa Bonheur,AT,AUT,6
Rosa Bonheur,FR,FRA,4
Rosa Bonheur,GB,GBR,1
Rosa Bonomi,IT,ITA,1
Rosa E. Woon,GB,GBR,6
Rosa Feinstein,LV,,29
Rosa Feinstein,RU,RUS,48
Rosa Feinstein,UA,UKR,58
Rosa Frankfurt,AT,AUT,4
Rosa Howlett,GB,GBR,12
Rosa Rayneri,IT,ITA,1
Rosalba Carriera,AT,AUT,9
Rosamond Smith Bouvé,US,USA,1
Rosamund Chaplin,GB,GBR,6
Rosamund Watson,GB,GBR,10
Rose - J. Leigh,BE,BEL,9
Rose - J. Leigh,GB,GBR,18
Rose Aspinall Syers,GB,GBR,16
Rose B. Bridgman,GB,GBR,6
Rose Eisner,DE,DEU,6
Rose Fuchs,AT,AUT,3
Rose de Borwitz,FR,FRA,2
Rose-Marie Guillaume,NL,NLD,1
Rosina Pollak,DE,DEU,4
Rosine Del Fabro,AT,AUT,2
Rostislav Voinov,RU,RUS,3
Rowley Leggett,GB,GBR,18
Roy Henry Brown,US,USA,1
Rubaldo Merello,FR,FRA,6
Rubaldo Merello,IT,ITA,6
Rubens Santoro,IT,ITA,14
Ruby M. Hare,GB,GBR,2
Rud. Petersen,DE,DEU,3
Rudolf Adámek,CZ,CZE,9
Rudolf Adámek,\N,,9
Rudolf André,DE,DEU,2
Rudolf Bacher,AT,AUT,14
Rudolf Bacher,DE,DEU,6
Rudolf Bacher,US,USA,2
Rudolf Bernhard Willmann,DE,DEU,9
Rudolf Bernhard Willmann,GB,GBR,3
Rudolf Bernt,DE,DEU,3
Rudolf Bernt,GB,GBR,1
Rudolf Bitzan,CZ,CZE,36
Rudolf Bäumer,DE,DEU,1
Rudolf Bém,AT,AUT,6
Rudolf Bém,CZ,CZE,110
Rudolf Czakó,HU,HUN,6
Rudolf Czapek,DE,DEU,6
Rudolf Czerny,DE,DEU,4
Rudolf Dammeier,DE,DEU,1
Rudolf Dammeier,NL,NLD,6
Rudolf Diener Denes,HU,HUN,1
